,country,Total Cases ,New Cases,Total Deaths,New Deaths,Active Cases,Total Recovered ,"Serious, Critical",the_geom,name_long,abbrev,Longitude,Latitude
0,China,"80,282",131.0,"2,981",38.0,"27,298","50,003","6,416",POINT (103.81907349 36.5617654559),China,China,103.81907349,36.56176546
1,Italy,"3,089",587.0,107,28.0,"2,706",276,295,POINT (12.0700133907 42.796626414),Italy,Italy,12.07001339,42.79662641
2,Iran,"2,922",586.0,92,15.0,"2,278",552,,POINT (54.2740700448 32.575032915),Iran,Iran,54.27407004,32.57503292
3,Japan,331,38.0,6,,282,43,29,POINT (138.030895577 37.592301353),Japan,Japan,138.03089558,37.59230135
4,France,285,73.0,4,,269,12,10,POINT (-2.76172944519 42.1734401107),France,Fr.,-2.76172945,42.17344011
5,Germany,262,59.0,,,246,16,2,POINT (10.385780508 51.1069818075),Germany,Ger.,10.38578051,51.10698181
6,Spain,222,57.0,2,1.0,218,2,3,POINT (-3.64755047323 40.2444869811),Spain,Sp.,-3.64755047,40.24448698
7,United States,149,25.0,11,2.0,129,9,8,POINT (-112.4616737 45.6795472026),United States,U.S.A.,-112.46167369999999,45.6795472
8,Singapore,110,,,,32,78,7,POINT (103.81725592 1.35876087075),Singapore,Sing.,103.81725592,1.35876087
9,Hong Kong,103,2.0,2,,64,37,6,POINT (114.113804542 22.3982773723),Hong Kong,H.K.,114.11380454,22.39827737
10,Switzerland,90,32.0,,,87,3,,POINT (8.20867470615 46.7978587836),Switzerland,Switz.,8.20867471,46.79785878
11,United Kingdom,85,34.0,,,77,8,,POINT (-2.86563164084 54.1238715577),United Kingdom,U.K.,-2.86563164,54.12387156
12,Kuwait,56,,,,56,,,POINT (47.5870045889 29.3343126157),Kuwait,Kwt.,47.58700459,29.33431262
13,Norway,56,23.0,,,56,,,POINT (15.3483465622 68.7501557205),Norway,Nor.,15.34834656,68.75015572
14,Bahrain,52,3.0,,,51,1,,POINT (50.5419693232 26.0420513477),Bahrain,Bahr.,50.54196932,26.04205135
15,Sweden,52,22.0,,,51,1,,POINT (16.7455804869 62.7796651931),Sweden,Swe.,16.74558049,62.77966519
16,Australia,50,11.0,2,1.0,27,21,1,POINT (134.491000082 -25.7328870417),Australia,Auz.,134.49100008,-25.73288704
17,Malaysia,50,14.0,,,28,22,,POINT (109.697622843 3.78986845571),Malaysia,Malay.,109.69762284,3.78986846
18,Thailand,43,,1,,12,30,1,POINT (101.002881304 15.1181579418),Thailand,Thai.,101.0028813,15.11815794
19,Taiwan,42,,1,,29,12,,POINT (120.954272814 23.753992795),Taiwan,Taiwan,120.95427281,23.753992800000002
20,Netherlands,38,15.0,,,38,,1,POINT (5.28144793007 52.1007899002),Netherlands,Neth.,5.28144793,52.100789899999995
21,Iraq,35,3.0,,,35,,,POINT (43.7435314888 33.0397058232),Iraq,Iraq,43.74353149,33.03970582
22,Canada,33,3.0,,,26,7,,POINT (-98.3077702819 61.3620632437),Canada,Can.,-98.30777028,61.36206324
23,Austria,29,5.0,,,29,,,POINT (14.1264760996 47.585494392),Austria,Aust.,14.1264761,47.58549439
24,India,28,21.0,,,25,3,,POINT (79.6119761026 22.8857821183),India,India,79.61197609999999,22.88578212
25,United Arab Emirates,27,,,,22,5,2,POINT (54.3001671016 23.9052818785),United Arab Emirates,U.A.E.,54.300167099999996,23.90528188
