,Country,TotalCases,NewCases,TotalDeaths,NewDeaths,ActiveCases,TotalRecovered,CriticalCases,Longitude,Latitude
0,China,80652,100,3070.0,28.0,22061,55521.0,5489.0,103.8190735,36.56176546
1,Iran,5823,1076,145.0,21.0,4009,1669.0,0.0,54.27407004,32.57503292
2,Italy,4636,0,197.0,0.0,3916,523.0,462.0,12.07001339,42.79662641
3,Germany,718,48,0.0,0.0,700,18.0,9.0,10.38578051,51.10698181
4,France,716,63,11.0,2.0,693,12.0,23.0,-2.76172945,42.17344011
5,Spain,500,99,10.0,2.0,460,30.0,9.0,-3.64755047,40.24448698
6,Japan,435,15,6.0,0.0,353,76.0,28.0,138.0308956,37.59230135
7,Switzerland,268,54,1.0,0.0,264,3.0,0.0,8.20867471,46.79785878
8,Netherlands,188,60,1.0,0.0,187,0.0,1.0,5.28144793,52.100789899999995
9,Belgium,169,60,0.0,0.0,168,1.0,1.0,4.64065114,50.63981576
10,Sweden,161,24,0.0,0.0,160,1.0,0.0,16.74558049,62.77966519
11,Singapore,138,8,0.0,0.0,48,90.0,9.0,103.8172559,1.35876087
12,Norway,136,9,0.0,0.0,135,1.0,0.0,15.34834656,68.75015572
13,Hong Kong,108,0,2.0,0.0,55,51.0,6.0,114.11380449999999,22.39827737
14,Malaysia,93,10,0.0,0.0,70,23.0,0.0,109.69762279999999,3.78986846
15,Austria,79,13,0.0,0.0,77,2.0,1.0,14.1264761,47.58549439
16,Bahrain,66,6,0.0,0.0,62,4.0,0.0,50.54196932,26.04205135
17,Australia,64,1,2.0,0.0,40,22.0,1.0,134.49100009999998,-25.73288704
18,Kuwait,61,3,0.0,0.0,60,1.0,0.0,47.58700459,29.33431262
19,Canada,54,0,0.0,0.0,46,8.0,1.0,-98.30777028,61.36206324
20,Thailand,50,2,1.0,0.0,18,31.0,1.0,101.0028813,15.11815794
21,Iraq,46,0,4.0,0.0,41,1.0,0.0,43.74353149,33.03970582
22,Greece,46,1,0.0,0.0,46,0.0,1.0,22.95555794,39.07469623
23,Taiwan,45,0,1.0,0.0,29,15.0,0.0,120.95427279999998,23.753992800000002
24,Iceland,45,0,0.0,0.0,44,1.0,0.0,-18.57396167,64.99575386
25,India,34,3,0.0,0.0,31,3.0,0.0,79.61197609999999,22.88578212
26,Denmark,27,6,0.0,0.0,26,1.0,0.0,10.02800992,55.98125296
27,San Marino,23,0,1.0,0.0,22,0.0,4.0,12.45922334,43.94186747
28,Lebanon,22,0,0.0,0.0,21,1.0,1.0,35.88016072,33.92306631
29,Israel,21,0,0.0,0.0,19,2.0,0.0,35.00444693,31.46110101
