,Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,CriticalCases,Tot Cases/1M pop,Date,Longitude,Latitude
0,China,80824,10.0,3177.0,0.0,64176.0,13471,4020.0,56.2,2020-03-13 21:43:25.487830,103.8190735,36.56176546
1,Italy,17660,2547.0,1266.0,250.0,1439.0,14955,1328.0,292.1,2020-03-13 21:43:25.487830,12.07001339,42.79662641
2,Iran,11364,1289.0,514.0,85.0,3529.0,7321,0.0,135.3,2020-03-13 21:43:25.487830,54.27407004,32.57503292
3,S. Korea,8086,217.0,72.0,6.0,714.0,7300,59.0,157.7,2020-03-13 21:43:25.487830,127.83916090000001,36.38523983
4,Spain,5232,2086.0,133.0,47.0,193.0,4906,272.0,111.9,2020-03-13 21:43:25.487830,-3.64755047,40.24448698
5,Germany,3675,930.0,8.0,2.0,46.0,3621,9.0,43.9,2020-03-13 21:43:25.487830,10.38578051,51.10698181
6,France,3661,785.0,79.0,18.0,12.0,3570,154.0,56.1,2020-03-13 21:43:25.487830,2.6187869999999998,47.824905
7,USA,2285,588.0,48.0,7.0,41.0,2196,10.0,6.9,2020-03-13 21:43:25.487830,-97.922211,39.381266
8,Switzerland,1139,271.0,11.0,4.0,4.0,1124,0.0,131.6,2020-03-13 21:43:25.487830,8.20867471,46.79785878
9,Norway,996,196.0,1.0,0.0,1.0,994,27.0,183.7,2020-03-13 21:43:25.487830,15.34834656,68.75015572
10,Sweden,814,127.0,1.0,0.0,1.0,812,2.0,80.6,2020-03-13 21:43:25.487830,16.74558049,62.77966519
11,Netherlands,804,190.0,10.0,5.0,2.0,792,45.0,46.9,2020-03-13 21:43:25.487830,5.28144793,52.100789899999995
12,Denmark,804,130.0,0.0,0.0,1.0,803,2.0,138.8,2020-03-13 21:43:25.487830,10.02800992,55.98125296
13,UK,798,208.0,11.0,1.0,18.0,769,20.0,11.8,2020-03-13 21:43:25.487830,-2.86563164,54.12387156
14,Japan,734,43.0,21.0,2.0,118.0,595,29.0,5.8,2020-03-13 21:43:25.487830,138.0308956,37.59230135
15,Belgium,559,160.0,3.0,0.0,1.0,555,2.0,48.2,2020-03-13 21:43:25.487830,4.64065114,50.63981576
16,Austria,504,143.0,1.0,0.0,6.0,497,1.0,56.0,2020-03-13 21:43:25.487830,14.1264761,47.58549439
17,Qatar,320,58.0,0.0,0.0,0.0,320,0.0,111.1,2020-03-13 21:43:25.487830,51.18479632,25.30601188
18,Bahrain,210,13.0,0.0,0.0,44.0,166,1.0,123.4,2020-03-13 21:43:25.487830,50.54196932,26.04205135
19,Singapore,200,13.0,0.0,0.0,97.0,103,11.0,34.2,2020-03-13 21:43:25.487830,103.8172559,1.35876087
20,Australia,199,43.0,3.0,0.0,26.0,170,1.0,7.8,2020-03-13 21:43:25.487830,134.49100009999998,-25.73288704
21,Canada,198,56.0,1.0,0.0,11.0,186,1.0,5.2,2020-03-13 21:43:25.487830,-98.30777028,61.36206324
22,Malaysia,197,39.0,0.0,0.0,32.0,165,4.0,6.1,2020-03-13 21:43:25.487830,109.69762279999999,3.78986846
23,Greece,190,73.0,1.0,0.0,2.0,187,2.0,18.2,2020-03-13 21:43:25.487830,22.95555794,39.07469623
24,Finland,155,46.0,0.0,0.0,1.0,154,0.0,28.0,2020-03-13 21:43:25.487830,26.274665600000002,64.49884603
25,Brazil,151,74.0,0.0,0.0,1.0,150,2.0,0.7,2020-03-13 21:43:25.487830,-53.09783113,-10.78777702
